,取引価格（総額）,面積（㎡）,地区名,最寄駅：距離（分）,都市計画,建物の構造,築年数
1590,8100000,15,新子安,7,第１種住居地域,ＲＣ,31
1594,11000000,15,新子安,4,第１種住居地域,ＲＣ,31
1595,51000000,70,新子安,6,第１種住居地域,ＲＣ、鉄骨造,4
1596,50000000,65,新子安,6,第１種住居地域,ＲＣ、鉄骨造,4
1599,45000000,65,新子安,5,第１種住居地域,,2
1600,59000000,70,新子安,6,第１種住居地域,ＲＣ、鉄骨造,3
1601,49000000,65,新子安,6,第１種住居地域,ＲＣ、鉄骨造,3
1602,54000000,75,新子安,6,第１種住居地域,ＳＲＣ,18
1603,11000000,15,新子安,3,第１種住居地域,ＲＣ,30
1604,42000000,70,新子安,6,第１種住居地域,ＳＲＣ,18
1605,8300000,15,新子安,3,第１種住居地域,ＲＣ,30
1606,57000000,70,新子安,6,第１種住居地域,ＲＣ、鉄骨造,3
1607,49000000,60,新子安,6,第１種住居地域,ＳＲＣ,18
1608,28000000,65,新子安,8,第１種住居地域,ＲＣ,18
1609,47000000,70,新子安,6,第１種住居地域,ＲＣ,5
1610,53000000,65,新子安,4,第１種住居地域,,2
1611,6900000,15,新子安,3,第１種住居地域,ＲＣ,29
1613,45000000,70,新子安,6,第１種住居地域,ＲＣ,4
1614,34000000,60,新子安,6,第１種住居地域,ＳＲＣ,17
1615,5600000,15,新子安,8,近隣商業地域,ＲＣ,30
1616,46000000,70,新子安,6,第１種住居地域,ＳＲＣ,17
1617,6500000,15,新町,2,商業地域,ＳＲＣ,30
1618,8000000,15,新町,2,商業地域,ＳＲＣ,29
1619,24000000,20,新町,4,商業地域,ＳＲＣ,4
1620,39000000,55,新町,3,商業地域,ＲＣ,26
1621,24000000,50,新町,4,商業地域,,40
1622,5800000,15,新町,2,商業地域,ＳＲＣ,28
1623,17000000,35,新町,5,商業地域,ＳＲＣ,40
1624,30000000,50,新町,5,,ＲＣ,40
1625,23000000,55,新町,3,商業地域,ＳＲＣ,25
1626,8400000,15,新町,2,商業地域,ＳＲＣ,28
1627,7200000,15,新町,3,商業地域,,28
1628,18000000,35,新町,5,商業地域,,40
1629,24000000,20,新町,4,商業地域,ＳＲＣ,3
1630,25000000,20,新町,4,商業地域,ＳＲＣ,3
1631,26000000,20,新町,4,商業地域,ＳＲＣ,3
1632,7800000,15,新町,2,商業地域,ＳＲＣ,27
1633,5100000,15,新町,2,商業地域,ＳＲＣ,27
1635,25000000,20,新町,4,商業地域,ＳＲＣ,2
1636,25000000,20,新町,4,商業地域,ＳＲＣ,2
1637,25000000,20,新町,4,商業地域,ＳＲＣ,2
1638,18000000,50,新町,5,,ＲＣ,39
1639,25000000,20,新町,4,商業地域,ＳＲＣ,2
1640,26000000,20,新町,4,商業地域,ＳＲＣ,2
1644,36000000,55,新町,3,商業地域,ＳＲＣ,23
1645,21000000,20,新町,2,商業地域,ＲＣ,1
1646,5400000,15,新町,3,商業地域,ＲＣ,30
1647,9700000,15,新町,1,商業地域,ＳＲＣ,26
1648,23000000,20,新町,2,商業地域,ＲＣ,1
1649,23000000,20,新町,2,商業地域,ＲＣ,1
1650,7200000,15,新町,2,商業地域,,25
1651,9000000,15,新町,1,商業地域,ＳＲＣ,25
1652,5800000,15,新町,1,商業地域,ＳＲＣ,25
1654,12000000,45,菅田町,21,第１種中高層住居専用地域,ＲＣ,50
1657,13000000,45,菅田町,24,第１種中高層住居専用地域,ＲＣ,50
1658,13000000,45,菅田町,24,第１種中高層住居専用地域,ＲＣ,50
1666,3000000,45,菅田町,20,第１種中高層住居専用地域,ＲＣ,48
1668,6000000,45,菅田町,15,第１種中高層住居専用地域,,48
1673,11000000,45,菅田町,19,第１種中高層住居専用地域,,47
1675,5000000,45,菅田町,18,第１種中高層住居専用地域,,47
1679,8500000,45,菅田町,19,第１種中高層住居専用地域,ＲＣ,46
1680,6000000,45,菅田町,18,第１種中高層住居専用地域,ＲＣ,46
1681,9500000,45,菅田町,45,第１種住居地域,ＲＣ,32
1692,13000000,50,菅田町,28,第１種住居地域,,38
1696,5500000,50,菅田町,25,第１種住居地域,ＲＣ,36
1712,22000000,80,菅田町,25,第１種住居地域,ＲＣ,13
1723,6000000,35,菅田町,23,第１種低層住居専用地域,ＲＣ,28
1724,14000000,45,菅田町,25,第１種住居地域,,34
1735,14000000,65,菅田町,19,第１種住居地域,ＳＲＣ,41
1747,10000000,65,菅田町,19,第１種住居地域,ＳＲＣ,39
1752,12000000,45,菅田町,23,第１種低層住居専用地域,ＲＣ,34
1765,12000000,50,菅田町,19,第１種住居地域,ＳＲＣ,38
1766,6300000,45,菅田町,25,第１種住居地域,ＲＣ,22
1776,14000000,60,菅田町,19,第１種低層住居専用地域,ＳＲＣ,37
1777,7000000,50,菅田町,19,第１種住居地域,ＳＲＣ,37
1787,17000000,20,台町,1,商業地域,ＲＣ,18
1788,46000000,55,台町,3,商業地域,ＳＲＣ,27
1789,24000000,50,台町,3,商業地域,ＳＲＣ,27
1790,9400000,15,台町,2,商業地域,ＳＲＣ,27
1791,38000000,60,台町,5,商業地域,,26
1792,38000000,70,台町,5,商業地域,ＲＣ,23
1793,18000000,20,台町,1,商業地域,ＲＣ,17
1794,16000000,20,台町,1,商業地域,,17
1795,21000000,20,台町,1,商業地域,,17
1797,21000000,20,台町,1,商業地域,,16
1798,18000000,20,台町,2,商業地域,ＲＣ,16
1799,19000000,20,台町,2,商業地域,ＲＣ,16
1800,11000000,45,台町,3,商業地域,,44
1801,9500000,15,台町,2,商業地域,ＳＲＣ,29
1803,43000000,80,台町,5,商業地域,ＲＣ,15
1804,77000000,75,台町,4,商業地域,,16
1805,17000000,20,台町,1,商業地域,,15
1806,16000000,15,台町,2,商業地域,ＳＲＣ,27
1807,18000000,25,台町,3,商業地域,ＲＣ,17
1808,15000000,20,台町,3,商業地域,,24
1809,17000000,20,台町,2,商業地域,ＲＣ,14
1810,39000000,65,台町,10,工業地域,ＲＣ,17
1811,4500000,25,台町,7,商業地域,ＳＲＣ,47
1812,1800000,25,台町,7,商業地域,,47
1813,7000000,15,台町,9,第１種住居地域,,38
1815,14000000,20,台町,7,商業地域,ＳＲＣ,46
1816,47000000,50,台町,6,商業地域,ＲＣ,9
1817,37000000,55,台町,9,商業地域,ＳＲＣ,33
1818,32000000,45,台町,9,商業地域,ＳＲＣ,33
1819,46000000,60,台町,11,商業地域,ＲＣ,18
1820,12000000,15,台町,6,商業地域,ＳＲＣ,29
1821,12000000,25,台町,7,商業地域,ＳＲＣ,46
1822,30000000,50,台町,9,商業地域,ＳＲＣ,33
1823,33000000,60,台町,11,商業地域,ＲＣ,18
1824,8800000,20,台町,6,商業地域,ＳＲＣ,39
1825,12000000,15,台町,6,商業地域,ＳＲＣ,29
1826,43000000,50,台町,6,商業地域,ＲＣ,9
1827,11000000,15,台町,7,商業地域,ＳＲＣ,27
1828,40000000,55,台町,9,商業地域,,32
1829,12000000,15,台町,7,商業地域,ＳＲＣ,27
1830,9300000,15,台町,10,商業地域,,27
1831,43000000,65,台町,7,商業地域,,17
1832,13000000,15,台町,7,商業地域,ＳＲＣ,27
1835,54000000,70,台町,7,商業地域,ＲＣ,28
1836,8500000,25,台町,6,商業地域,ＳＲＣ,37
1837,35000000,60,台町,6,商業地域,,25
1838,22000000,30,台町,6,商業地域,,10
1839,10000000,15,台町,10,商業地域,ＳＲＣ,26
1840,5700000,25,台町,7,商業地域,ＳＲＣ,44
1841,9400000,15,台町,6,商業地域,,28
1842,25000000,50,台町,8,商業地域,ＳＲＣ,30
1843,20000000,40,台町,6,商業地域,ＳＲＣ,36
1844,14000000,15,台町,7,商業地域,ＳＲＣ,25
1845,12000000,15,台町,7,商業地域,,26
1846,11000000,15,台町,6,商業地域,ＳＲＣ,26
1847,36000000,55,台町,9,商業地域,ＳＲＣ,21
1848,9800000,15,台町,7,商業地域,ＳＲＣ,25
1849,7800000,20,台町,6,商業地域,ＳＲＣ,36
1850,13000000,15,台町,6,商業地域,ＳＲＣ,26
1851,19000000,50,台町,5,商業地域,ＲＣ,18
1852,30000000,75,台町,9,商業地域,ＳＲＣ,45
1853,16000000,15,台町,7,商業地域,ＳＲＣ,24
1854,18000000,15,台町,7,商業地域,ＳＲＣ,24
1855,18000000,15,台町,7,商業地域,ＳＲＣ,24
1856,18000000,15,台町,7,商業地域,ＳＲＣ,24
1857,5200000,25,台町,7,商業地域,ＳＲＣ,42
1859,8500000,20,台町,7,商業地域,ＳＲＣ,42
1860,56000000,70,高島台,5,第２種中高層住居専用地域,,14
1869,70000000,75,高島台,10,第２種中高層住居専用地域,ＲＣ,11
1870,63000000,70,高島台,10,第２種中高層住居専用地域,ＲＣ,11
1871,56000000,70,高島台,10,第２種中高層住居専用地域,ＲＣ,15
1872,63000000,75,高島台,10,第２種中高層住居専用地域,ＲＣ,9
1873,73000000,85,高島台,10,第２種中高層住居専用地域,ＲＣ,9
1874,75000000,90,高島台,10,第２種中高層住居専用地域,ＲＣ,9
1875,57000000,75,高島台,10,第２種中高層住居専用地域,ＲＣ,9
1879,36000000,70,立町,8,商業地域,ＲＣ,24
1880,34000000,70,立町,7,商業地域,ＳＲＣ,19
1881,43000000,50,反町,6,商業地域,,23
1882,7500000,20,反町,3,商業地域,,36
1883,18000000,20,反町,4,商業地域,ＲＣ,20
1884,32000000,55,反町,5,商業地域,,24
1885,34000000,40,反町,3,商業地域,ＳＲＣ,15
1886,50000000,60,反町,3,商業地域,ＲＣ,9
1887,20000000,20,反町,4,商業地域,ＲＣ,14
1888,21000000,20,反町,4,商業地域,ＲＣ,14
1889,55000000,65,反町,3,商業地域,ＲＣ,9
1890,59000000,60,反町,5,商業地域,ＲＣ,3
1891,24000000,20,反町,2,商業地域,ＲＣ,6
1892,15000000,20,反町,4,商業地域,ＲＣ,19
1893,36000000,40,反町,3,商業地域,ＳＲＣ,15
1894,20000000,20,反町,3,商業地域,ＳＲＣ,15
1895,35000000,55,反町,3,商業地域,ＲＣ,14
1896,18000000,20,反町,4,商業地域,ＲＣ,14
1897,27000000,50,反町,5,商業地域,ＲＣ,22
1899,18000000,20,反町,4,商業地域,,14
1900,20000000,20,反町,3,商業地域,ＳＲＣ,15
1901,17000000,20,反町,3,商業地域,,17
1902,25000000,20,反町,3,商業地域,,5
1903,15000000,20,反町,3,商業地域,ＳＲＣ,14
1904,17000000,25,反町,4,商業地域,,18
1905,24000000,20,反町,3,商業地域,,11
1906,6500000,15,反町,4,商業地域,ＳＲＣ,32
1907,23000000,20,反町,3,商業地域,ＲＣ,5
1908,15000000,20,反町,4,商業地域,ＲＣ,15
1910,21000000,20,反町,3,商業地域,ＳＲＣ,14
1911,6000000,15,反町,4,商業地域,ＳＲＣ,32
1912,22000000,20,反町,4,商業地域,,13
1913,20000000,20,反町,3,商業地域,ＲＣ,13
1914,18000000,25,反町,4,商業地域,,18
1915,6300000,15,反町,4,商業地域,,32
1916,6300000,15,反町,4,商業地域,,32
1917,24000000,20,反町,2,商業地域,ＲＣ,5
1918,19000000,20,反町,3,商業地域,ＳＲＣ,14
1919,19000000,25,反町,4,商業地域,,18
1920,21000000,20,反町,4,商業地域,,18
1921,19000000,20,反町,4,商業地域,,17
1922,30000000,60,反町,5,商業地域,ＲＣ,20
1923,22000000,20,反町,2,商業地域,ＲＣ,4
1924,23000000,60,反町,4,商業地域,ＳＲＣ,22
1925,13000000,20,反町,4,商業地域,,17
1926,18000000,20,反町,4,商業地域,,13
1927,45000000,65,反町,4,商業地域,,12
1928,39000000,55,反町,3,商業地域,ＳＲＣ,27
1929,30000000,70,反町,3,商業地域,ＳＲＣ,27
1930,23000000,20,反町,4,商業地域,,4
1931,17000000,20,反町,3,商業地域,ＲＣ,16
1932,9600000,20,反町,3,商業地域,ＲＣ,33
1933,750000,15,反町,3,商業地域,ＲＣ,31
1935,23000000,20,反町,2,商業地域,ＲＣ,3
1936,17000000,20,反町,4,商業地域,,11
1937,7900000,20,反町,3,商業地域,ＲＣ,32
1938,15000000,30,反町,4,商業地域,鉄骨造,13
1939,13000000,20,反町,4,商業地域,鉄骨造,13
1940,7800000,15,反町,3,商業地域,ＳＲＣ,30
1942,17000000,20,反町,4,商業地域,ＳＲＣ,16
1943,9600000,15,反町,3,商業地域,ＳＲＣ,30
1944,28000000,50,反町,4,商業地域,ＳＲＣ,21
1945,16000000,20,反町,2,商業地域,ＲＣ,3
1946,21000000,20,反町,3,商業地域,ＳＲＣ,12
1947,15000000,30,反町,4,商業地域,,13
1948,49000000,65,反町,4,商業地域,,11
1949,2100000,20,反町,3,商業地域,ＳＲＣ,12
1951,38000000,55,反町,4,商業地域,ＲＣ,10
1952,33000000,55,反町,4,商業地域,ＳＲＣ,20
1953,49000000,65,反町,3,商業地域,ＲＣ,10
1954,20000000,20,反町,4,商業地域,ＲＣ,10
1955,34000000,55,反町,3,商業地域,ＳＲＣ,25
1956,40000000,60,反町,5,商業地域,ＲＣ,18
1957,19000000,20,反町,3,商業地域,ＳＲＣ,11
1959,19000000,20,反町,3,商業地域,ＳＲＣ,11
1960,16000000,20,反町,4,商業地域,ＳＲＣ,15
1961,10000000,20,反町,3,商業地域,ＲＣ,14
1963,7900000,20,鶴屋町,6,商業地域,ＳＲＣ,40
1964,11000000,25,鶴屋町,9,商業地域,ＳＲＣ,36
1965,40000000,60,鶴屋町,9,商業地域,ＲＣ,36
1966,26000000,20,鶴屋町,6,商業地域,ＲＣ,9
1967,29000000,30,鶴屋町,4,商業地域,ＲＣ,9
1968,24000000,20,鶴屋町,6,商業地域,ＲＣ,8
1969,24000000,20,鶴屋町,6,商業地域,ＲＣ,8
1970,33000000,60,鶴屋町,9,商業地域,,35
1973,9300000,20,鶴屋町,9,商業地域,,34
1975,23000000,20,鶴屋町,6,商業地域,ＲＣ,7
1976,9600000,20,鶴屋町,6,商業地域,ＳＲＣ,38
1977,40000000,75,鶴屋町,9,商業地域,,34
1979,35000000,50,鶴屋町,5,商業地域,,32
1980,29000000,30,鶴屋町,4,商業地域,ＲＣ,7
1981,30000000,60,鶴屋町,7,商業地域,,33
1982,24000000,20,鶴屋町,6,商業地域,ＲＣ,6
1983,11000000,25,鶴屋町,9,商業地域,,33
1984,25000000,20,鶴屋町,6,商業地域,ＲＣ,6
1985,24000000,20,鶴屋町,6,商業地域,ＲＣ,6
1986,23000000,20,鶴屋町,6,商業地域,ＲＣ,6
1987,10000000,25,鶴屋町,9,商業地域,,33
1988,23000000,20,鶴屋町,6,商業地域,ＲＣ,6
1989,6600000,35,鶴屋町,8,商業地域,ＳＲＣ,37
1990,19000000,20,鶴屋町,7,商業地域,,6
1991,38000000,50,鶴屋町,4,商業地域,,31
1992,17000000,40,鶴屋町,8,商業地域,,28
1993,22000000,20,鶴屋町,6,商業地域,ＲＣ,5
1994,26000000,30,鶴屋町,4,商業地域,ＲＣ,5
1995,11000000,25,鶴屋町,6,商業地域,ＳＲＣ,36
1996,13000000,25,鶴屋町,5,商業地域,ＳＲＣ,30
1997,22000000,20,鶴屋町,6,商業地域,ＲＣ,5
2000,13000000,25,鶴屋町,5,商業地域,ＳＲＣ,30
2001,9200000,20,鶴屋町,6,商業地域,ＳＲＣ,36
2002,20000000,20,鶴屋町,6,商業地域,ＲＣ,5
2003,46000000,55,富家町,5,商業地域,ＲＣ,17
2004,49000000,70,富家町,6,準住居地域,ＲＣ,18
2005,48000000,85,富家町,3,商業地域,,42
2006,41000000,65,富家町,1,商業地域,ＳＲＣ,41
2007,40000000,65,富家町,1,商業地域,ＳＲＣ,41
2008,33000000,60,富家町,6,準住居地域,ＲＣ,20
2009,38000000,75,富家町,1,商業地域,ＳＲＣ,40
2010,33000000,65,富家町,3,商業地域,,40
2011,36000000,65,富家町,3,商業地域,ＳＲＣ,40
2012,45000000,55,富家町,5,商業地域,ＲＣ,14
2013,41000000,85,富家町,3,商業地域,ＳＲＣ,39
2014,39000000,55,富家町,5,商業地域,ＲＣ,14
2015,52000000,80,富家町,6,準住居地域,ＲＣ,15
2016,28000000,85,富家町,3,商業地域,ＳＲＣ,39
2017,44000000,85,富家町,3,商業地域,ＳＲＣ,38
2018,46000000,75,富家町,6,準住居地域,ＲＣ,17
2035,18000000,40,七島町,10,第１種中高層住居専用地域,,31
2038,20000000,40,七島町,9,近隣商業地域,,29
2041,24000000,20,七島町,5,近隣商業地域,ＲＣ,1
2042,25000000,20,七島町,5,近隣商業地域,ＲＣ,1
2043,25000000,20,七島町,5,近隣商業地域,ＲＣ,1
2044,8000000,35,七島町,9,近隣商業地域,ＲＣ,36
2045,25000000,20,七島町,5,近隣商業地域,ＲＣ,0
2052,7000000,35,七島町,1,商業地域,,35
2057,21000000,40,七島町,3,商業地域,,35
2061,26000000,45,七島町,3,近隣商業地域,,34
2064,20000000,65,七島町,9,近隣商業地域,ＲＣ,33
2065,7900000,15,七島町,4,準住居地域,ＲＣ,31
2067,21000000,20,七島町,1,近隣商業地域,ＲＣ,1
2069,23000000,20,七島町,1,近隣商業地域,ＲＣ,1
2071,21000000,20,七島町,1,近隣商業地域,ＲＣ,1
2072,23000000,20,七島町,1,近隣商業地域,ＲＣ,1
2073,23000000,20,七島町,1,近隣商業地域,ＲＣ,1
2085,5400000,35,西大口,11,第２種中高層住居専用地域,ＲＣ,48
2088,36000000,65,西大口,11,第１種中高層住居専用地域,ＲＣ,14
2091,11000000,60,西大口,12,第１種中高層住居専用地域,,46
2093,20000000,60,西大口,10,第１種中高層住居専用地域,,46
2098,20000000,65,西大口,12,第１種中高層住居専用地域,ＲＣ,44
2101,18000000,55,西大口,29,第１種中高層住居専用地域,ＲＣ,48
2102,21000000,65,西大口,29,第１種中高層住居専用地域,ＲＣ,47
2103,23000000,55,西大口,10,第２種中高層住居専用地域,鉄骨造,49
2104,28000000,65,西大口,10,第１種中高層住居専用地域,,19
2105,34000000,65,西大口,9,第２種中高層住居専用地域,ＲＣ,14
2106,34000000,70,西大口,8,第１種中高層住居専用地域,ＲＣ,19
2108,9500000,45,西大口,10,第２種中高層住居専用地域,,48
2109,25000000,50,西大口,8,第２種中高層住居専用地域,鉄骨造,47
2110,19000000,45,西大口,10,第２種中高層住居専用地域,,47
2112,14000000,40,西大口,7,第２種中高層住居専用地域,ＲＣ,33
2113,19000000,45,西大口,8,第２種中高層住居専用地域,鉄骨造,46
2114,33000000,65,西大口,11,第１種中高層住居専用地域,,17
2115,34000000,70,西大口,10,第１種中高層住居専用地域,ＲＣ,17
2117,34000000,70,西大口,11,第１種中高層住居専用地域,ＲＣ,17
2118,11000000,55,西大口,11,第２種中高層住居専用地域,鉄骨造,45
2119,34000000,70,西大口,10,第１種中高層住居専用地域,ＲＣ,16
2122,27000000,40,西神奈川,4,商業地域,,50
2123,15000000,40,西神奈川,4,商業地域,ＳＲＣ,49
2124,42000000,65,西神奈川,3,商業地域,ＳＲＣ,22
2125,20000000,20,西神奈川,5,商業地域,ＳＲＣ,13
2126,6500000,15,西神奈川,5,商業地域,ＳＲＣ,32
2127,20000000,20,西神奈川,5,商業地域,ＳＲＣ,13
2129,57000000,65,西神奈川,3,商業地域,ＲＣ,4
2130,19000000,20,西神奈川,5,商業地域,,13
2131,22000000,20,西神奈川,5,商業地域,ＳＲＣ,13
2132,22000000,20,西神奈川,5,商業地域,ＳＲＣ,13
2133,18000000,20,西神奈川,6,商業地域,ＳＲＣ,21
2134,8800000,20,西神奈川,5,商業地域,ＳＲＣ,32
2135,10000000,20,西神奈川,3,商業地域,ＲＣ,31
2136,7500000,15,西神奈川,5,商業地域,,31
2137,9300000,20,西神奈川,3,商業地域,ＲＣ,31
2138,22000000,20,西神奈川,5,商業地域,ＳＲＣ,12
2139,18000000,20,西神奈川,6,商業地域,ＳＲＣ,20
2140,7800000,15,西神奈川,5,商業地域,,31
2141,32000000,60,西神奈川,3,商業地域,ＲＣ,22
2142,23000000,25,西神奈川,4,商業地域,ＲＣ,13
2143,21000000,20,西神奈川,5,商業地域,ＳＲＣ,12
2144,7300000,20,西神奈川,5,商業地域,ＳＲＣ,31
2145,70000000,70,西神奈川,3,商業地域,ＲＣ,3
2146,7200000,15,西神奈川,5,商業地域,ＲＣ,28
2147,6500000,30,西神奈川,4,商業地域,ＳＲＣ,48
2148,22000000,20,西神奈川,5,商業地域,ＳＲＣ,12
2149,20000000,25,西神奈川,4,商業地域,ＲＣ,13
2150,42000000,55,西神奈川,2,商業地域,ＲＣ,24
2151,13000000,20,西神奈川,4,商業地域,ＲＣ,31
2153,67000000,70,西神奈川,3,商業地域,ＲＣ,3
2154,18000000,20,西神奈川,6,商業地域,ＳＲＣ,20
2155,22000000,20,西神奈川,5,商業地域,ＳＲＣ,12
2156,6300000,20,西神奈川,4,商業地域,ＳＲＣ,31
2157,19000000,20,西神奈川,5,商業地域,ＳＲＣ,12
2158,22000000,20,西神奈川,5,商業地域,,12
2159,22000000,25,西神奈川,4,商業地域,ＲＣ,13
2160,23000000,20,西神奈川,5,商業地域,ＳＲＣ,11
2161,30000000,60,西神奈川,3,商業地域,ＲＣ,21
2162,31000000,55,西神奈川,2,商業地域,ＲＣ,23
2163,21000000,20,西神奈川,5,商業地域,ＳＲＣ,11
2165,20000000,20,西神奈川,5,商業地域,ＳＲＣ,11
2166,15000000,30,西神奈川,3,商業地域,ＲＣ,29
2167,7200000,15,西神奈川,5,商業地域,ＲＣ,27
2168,13000000,20,西神奈川,3,商業地域,ＳＲＣ,30
2169,30000000,45,西神奈川,4,商業地域,ＳＲＣ,34
2171,22000000,25,西神奈川,4,商業地域,,12
2172,35000000,55,西神奈川,5,商業地域,,18
2175,16000000,20,西神奈川,5,商業地域,ＳＲＣ,10
2179,10000000,20,西神奈川,3,商業地域,ＳＲＣ,28
2180,9300000,20,西神奈川,3,商業地域,ＳＲＣ,28
2181,21000000,25,西神奈川,4,商業地域,,10
2182,17000000,20,西神奈川,6,商業地域,ＳＲＣ,17
2184,40000000,55,西神奈川,2,商業地域,ＲＣ,21
2188,11000000,15,西神奈川,5,商業地域,ＲＣ,31
2190,30000000,50,西神奈川,5,商業地域,,14
2193,55000000,130,西神奈川,4,商業地域,,33
2194,4800000,15,西神奈川,4,商業地域,,26
2195,11000000,15,西神奈川,5,商業地域,ＲＣ,30
2196,38000000,65,西神奈川,4,商業地域,ＲＣ,17
2197,5800000,15,西神奈川,4,第１種住居地域,,33
2198,5600000,15,西神奈川,4,第１種住居地域,,33
2199,41000000,65,西神奈川,2,商業地域,ＲＣ,18
2200,12000000,15,西神奈川,5,商業地域,ＲＣ,30
2201,39000000,65,西神奈川,2,商業地域,ＲＣ,18
2202,37000000,60,西神奈川,6,第１種低層住居専用地域,ＳＲＣ,13
2203,16000000,20,西神奈川,6,商業地域,,17
2204,6500000,15,西神奈川,5,商業地域,ＲＣ,29
2206,8900000,15,西神奈川,5,商業地域,ＲＣ,29
2207,20000000,50,西神奈川,4,商業地域,ＲＣ,32
2208,40000000,70,西神奈川,1,商業地域,ＳＲＣ,19
2209,6500000,15,西神奈川,5,商業地域,ＲＣ,29
2212,45000000,85,西寺尾,14,第２種中高層住居専用地域,ＲＣ,19
2213,38000000,60,西寺尾,12,第１種住居地域,,10
2219,4500000,25,西寺尾,14,第２種中高層住居専用地域,ＲＣ,39
2220,19000000,65,西寺尾,10,準工業地域,ＲＣ,32
2221,47000000,80,西寺尾,13,第２種中高層住居専用地域,ＲＣ,19
2230,40000000,70,西寺尾,14,第２種中高層住居専用地域,ＲＣ,18
2242,9000000,55,西寺尾,15,,ＲＣ,31
2253,35000000,75,西寺尾,14,第２種中高層住居専用地域,ＲＣ,17
2258,24000000,75,西寺尾,15,第２種中高層住居専用地域,ＲＣ,27
2259,11000000,50,西寺尾,13,第２種中高層住居専用地域,ＲＣ,30
2260,24000000,75,西寺尾,10,準工業地域,ＲＣ,31
2261,18000000,65,西寺尾,19,第２種中高層住居専用地域,ＲＣ,22
2271,26000000,70,西寺尾,14,第２種中高層住居専用地域,ＲＣ,17
2274,38000000,65,西寺尾,10,第１種住居地域,ＲＣ,8
2286,24000000,65,西寺尾,19,第２種中高層住居専用地域,ＲＣ,21
2287,17000000,50,西寺尾,14,第２種中高層住居専用地域,ＲＣ,37
2289,38000000,65,西寺尾,12,第１種住居地域,ＲＣ,7
2290,7200000,50,西寺尾,14,第２種中高層住居専用地域,ＲＣ,37
2295,5300000,15,西寺尾,15,準工業地域,ＲＣ,32
2296,4000000,15,西寺尾,15,準工業地域,,32
2297,15000000,50,西寺尾,10,準工業地域,,37
2298,9000000,15,西寺尾,15,準工業地域,ＲＣ,32
2299,21000000,40,西寺尾,15,第２種中高層住居専用地域,ＲＣ,26
2301,18000000,55,西寺尾,8,準工業地域,ＲＣ,36
2306,44000000,65,西寺尾,10,第１種住居地域,,6
2311,36000000,60,西寺尾,10,第１種住居地域,ＲＣ,6
2312,37000000,65,西寺尾,12,第１種住居地域,ＲＣ,6
2322,37000000,65,西寺尾,10,第１種住居地域,ＲＣ,5
2333,42000000,70,西寺尾,10,第１種住居地域,ＲＣ,5
2334,7600000,15,西寺尾,15,準工業地域,,30
2335,20000000,65,西寺尾,18,第２種中高層住居専用地域,,27
2336,34000000,75,西寺尾,14,第２種中高層住居専用地域,ＲＣ,14
2346,12000000,40,西寺尾,15,第２種中高層住居専用地域,ＲＣ,24
2351,4600000,25,西寺尾,14,第２種中高層住居専用地域,ＲＣ,35
2357,14000000,65,西寺尾,20,第２種中高層住居専用地域,ＲＣ,32
2358,16000000,60,西寺尾,19,第２種中高層住居専用地域,ＲＣ,31
2360,10000000,70,西寺尾,19,第２種中高層住居専用地域,ＲＣ,29
2361,23000000,80,西寺尾,16,第２種中高層住居専用地域,ＲＣ,39
2364,16000000,75,西寺尾,16,第２種中高層住居専用地域,ＲＣ,35
2365,11000000,70,西寺尾,16,第２種中高層住居専用地域,ＲＣ,35
2369,30000000,60,西寺尾,15,準工業地域,ＲＣ,32
2371,20000000,60,西寺尾,15,準工業地域,ＲＣ,31
2372,32000000,75,西寺尾,15,準工業地域,ＲＣ,31
2375,20000000,75,西寺尾,15,準工業地域,ＲＣ,30
2380,13000000,60,西寺尾,15,準工業地域,ＲＣ,29
2396,7500000,15,白楽,1,第１種住居地域,ＲＣ,35
2402,6600000,15,白楽,1,第１種住居地域,ＲＣ,31
2404,9100000,15,白楽,1,第１種住居地域,ＲＣ,30
2407,6900000,15,白楽,1,第１種住居地域,,30
2408,6800000,15,白楽,1,第１種住居地域,ＲＣ,32
2411,13000000,15,白楽,1,第１種住居地域,ＲＣ,28
2418,7000000,50,羽沢町,18,第１種中高層住居専用地域,ＲＣ,50
2419,9500000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,50
2420,12000000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,50
2421,14000000,45,羽沢町,20,第１種中高層住居専用地域,ＲＣ,50
2422,5200000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,50
2423,1500000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,50
2424,1500000,45,羽沢町,18,第１種中高層住居専用地域,ＲＣ,50
2427,10000000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,49
2428,11000000,45,羽沢町,21,第１種住居地域,ＲＣ,49
2429,1500000,45,羽沢町,19,第１種中高層住居専用地域,,49
2430,9500000,45,羽沢町,19,第１種中高層住居専用地域,ＲＣ,49
2431,9800000,45,羽沢町,20,第１種中高層住居専用地域,,48
2433,7500000,45,羽沢町,20,第１種中高層住居専用地域,,49
2434,27000000,85,羽沢町,23,第１種住居地域,ＲＣ,21
2435,13000000,45,羽沢町,18,第１種中高層住居専用地域,ＲＣ,48
2436,1500000,45,羽沢町,23,第１種中高層住居専用地域,ＲＣ,48
2438,8000000,45,羽沢町,19,第１種中高層住居専用地域,,48
