"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",38000000,"","２ＬＤＫ","45",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2022年第１四半期","",""
2,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",22000000,"","１Ｒ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2022年第１四半期","",""
3,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",21000000,"","１Ｋ","25",,"","","","平成6年","ＳＲＣ","","その他","","",,"商業地域",80,500,"2021年第４四半期","",""
4,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",43000000,"2000000","","70",600000,"長方形","5.0","","","","","住宅","南","市道",8.0,"商業地域",80,400,"2021年第３四半期","",""
5,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",12000000,"","１Ｋ","30",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第２四半期","未改装",""
6,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",23000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第２四半期","",""
7,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",22000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第２四半期","未改装",""
8,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",16000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第２四半期","",""
9,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",25000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
10,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",25000000,"","１ＬＤＫ","45",,"","","","昭和47年","","","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
