Lebanon	3 436	3 390	6 825	74.0	79.2	76.4
Lesotho	1 057	1 085	2 142	47.7	54.2	50.7
Liberia	2 543	2 515	5 058	63.2	65.0	64.1
Libya	3 469	3 403	6 871	74.2	77.3	75.8
Lithuania	1 260	1 462	2 722	71.2	80.4	76.0
Luxembourg	 317	 309	 626	80.6	84.2	82.4
Madagascar	13 815	13 876	27 691	64.1	66.6	65.3
Malawi	9 434	9 696	19 130	62.3	68.9	65.6
Malaysia	16 631	15 735	32 366	72.6	77.1	74.7
Maldives	 343	 198	 541	78.6	80.8	79.6
Mali	10 145	10 106	20 251	62.2	63.4	62.8
Malta	 221	 220	 442	79.9	83.8	81.9
Marshall Islands	-	-	 59	-	-	-
Mauritania	2 335	2 315	4 650	68.1	68.7	68.4
Mauritius	 627	 644	1 272	71.0	77.3	74.1
Mexico	63 071	65 861	128 933	73.1	78.9	76.0
Micronesia (Federated States of)	 58	 57	 115	60.3	66.0	63.0
Monaco	-	-	 39	-	-	-
Mongolia	1 615	1 663	3 278	63.8	72.8	68.1
Montenegro	 311	 317	 628	73.2	78.7	75.9
Morocco	18 317	18 594	36 911	71.7	74.3	73.0
Mozambique	15 188	16 067	31 255	54.5	61.7	58.1
Myanmar	26 220	28 190	54 410	65.9	72.2	69.1
Namibia	1 232	1 309	2 541	60.6	68.4	64.6
Nauru	-	-	 11	-	-	-
Nepal	13 348	15 788	29 137	68.9	72.7	70.9
Netherlands	8 537	8 598	17 135	80.4	83.1	81.8
New Zealand	2 370	2 452	4 822	80.4	83.5	82.0
Nicaragua	3 265	3 360	6 625	72.1	77.9	75.0
Niger	12 170	12 036	24 207	62.1	64.6	63.3
Nigeria	104 470	101 670	206 140	61.2	64.1	62.6
Niue	-	-	 2	-	-	-
North Macedonia	1 042	1 041	2 083	72.8	76.9	74.8
Norway	2 740	2 681	5 421	81.1	84.1	82.6
Oman	3 370	1 736	5 107	73.0	75.3	73.9
Pakistan	113 672	107 220	220 892	64.6	66.7	65.6
Palau	-	-	 18	-	-	-
Panama	2 160	2 155	4 315	76.6	82.1	79.3
Papua New Guinea	4 568	4 379	8 947	63.4	67.4	65.3
Paraguay	3 624	3 508	7 133	73.1	78.8	75.8
Peru	16 379	16 593	32 972	78.5	81.3	79.9
Philippines	55 029	54 552	109 581	67.4	73.6	70.4
Poland	18 338	19 509	37 847	74.5	81.9	78.3
Portugal	4 824	5 373	10 197	78.6	84.4	81.6
Qatar	2 165	 716	2 881	78.0	76.6	77.2
Republic of Korea	25 666	25 603	51 269	80.3	86.1	83.3
Republic of Moldova	1 932	2 102	4 034	69.3	77.1	73.3
Romania	9 354	9 884	19 238	72.0	79.3	75.6
Russian Federation	67 640	78 294	145 934	68.2	78.0	73.2
Rwanda	6 367	6 585	12 952	66.9	71.2	69.1
Saint Kitts and Nevis	-	-	 53	-	-	-
Saint Lucia	 90	 93	 184	71.3	77.7	74.3
Saint Vincent and the Grenadines	 56	 55	 111	71.3	75.3	73.2
Samoa	 103	 96	 198	69.2	71.8	70.5
San Marino	-	-	 34	-	-	-
Sao Tome and Principe	 110	 109	 219	68.8	72.0	70.4
