北海道	31.68 	1 	13.91 	28 	7.66 	36 	53.25 	9 	11.44 	21 	2.85 	41 	0.46 	39 
青森	30.96 	3 	13.89 	29 	8.91 	12 	53.76 	2 	11.77 	17 	3.53 	25 	0.55 	29 
岩手	28.15 	34 	16.43 	4 	10.92 	1 	55.50 	1 	10.17 	38 	3.69 	18 	0.69 	7 
宮城	29.46 	19 	14.76 	17 	9.27 	7 	53.49 	5 	9.51 	43 	3.05 	37 	0.45 	40 
秋田	30.44 	8 	13.28 	38 	9.75 	4 	53.47 	6 	10.32 	36 	3.82 	9 	0.46 	38 
														
山形	29.50 	18 	14.21 	25 	9.33 	6 	53.04 	12 	10.23 	37 	3.44 	28 	0.55 	30 
福島	28.27 	33 	15.80 	6 	9.13 	10 	53.20 	10 	9.92 	39 	3.58 	24 	0.57 	25 
茨城	29.30 	23 	14.39 	22 	9.23 	8 	52.92 	13 	11.97 	13 	2.99 	38 	0.71 	6 
栃木	28.27 	32 	15.43 	9 	9.67 	5 	53.36 	8 	11.00 	27 	2.90 	40 	0.63 	14 
群馬	28.39 	29 	15.27 	12 	8.64 	18 	52.30 	18 	12.03 	12 	3.38 	29 	0.45 	42 
														
埼玉	28.96 	26 	15.67 	7 	7.75 	29 	52.37 	17 	13.35 	1 	2.49 	46 	0.40 	44 
千葉	28.61 	27 	16.77 	2 	7.76 	28 	53.14 	11 	12.38 	7 	2.69 	44 	0.47 	37 
東京	29.69 	15 	14.49 	21 	7.54 	40 	51.72 	27 	11.28 	24 	2.44 	47 	0.23 	47 
神奈川	29.62 	17 	14.20 	26 	7.66 	35 	51.49 	30 	10.74 	31 	3.46 	27 	0.32 	46 
新潟	29.99 	14 	13.62 	33 	10.02 	2 	53.63 	4 	9.72 	40 	3.81 	10 	0.59 	21 
														
富山	29.30 	22 	12.40 	44 	9.08 	11 	50.78 	35 	11.95 	15 	4.53 	1 	0.65 	11 
石川	30.16 	13 	13.67 	32 	8.81 	17 	52.64 	15 	11.74 	18 	4.03 	6 	0.58 	23 
福井	28.32 	30 	14.21 	24 	8.29 	22 	50.81 	34 	11.52 	19 	4.29 	3 	0.76 	2 
山梨	27.32 	44 	12.68 	42 	8.83 	14 	48.83 	43 	10.79 	28 	4.11 	4 	0.68 	9 
長野	26.52 	47 	14.50 	19 	9.94 	3 	50.96 	33 	8.93 	46 	3.75 	13 	0.57 	26 
														
岐阜	28.07 	39 	14.87 	16 	7.78 	27 	50.73 	36 	10.35 	35 	3.79 	11 	0.60 	18 
静岡	28.12 	36 	13.29 	37 	9.13 	9 	50.54 	37 	9.63 	42 	3.25 	32 	0.52 	32 
愛知	28.98 	25 	12.33 	45 	7.44 	42 	48.75 	44 	10.56 	33 	3.06 	36 	0.45 	41 
三重	27.98 	41 	13.95 	27 	7.88 	26 	49.81 	39 	11.03 	25 	3.75 	12 	0.75 	3 
滋賀	29.66 	16 	15.31 	11 	6.74 	46 	51.72 	28 	10.78 	29 	3.93 	8 	0.61 	17 
														
京都	30.23 	11 	15.57 	8 	7.62 	38 	53.42 	7 	10.74 	30 	2.56 	45 	0.42 	43 
大阪	30.66 	5 	14.50 	20 	6.66 	47 	51.82 	24 	12.62 	4 	2.80 	42 	0.38 	45 
兵庫	30.42 	9 	13.79 	30 	7.63 	37 	51.83 	23 	10.67 	32 	3.37 	31 	0.51 	33 
奈良	30.21 	12 	16.58 	3 	6.91 	45 	53.70 	3 	11.95 	14 	2.75 	43 	0.48 	36 
和歌山	29.37 	21 	15.24 	13 	7.16 	44 	51.77 	25 	11.31 	23 	3.12 	34 	0.63 	15 
														
鳥取	30.65 	6 	13.38 	35 	8.83 	15 	52.86 	14 	9.08 	45 	3.23 	33 	0.59 	19 
島根	30.35 	10 	12.79 	41 	8.46 	19 	51.60 	29 	9.22 	44 	3.51 	26 	0.58 	22 
岡山	28.06 	40 	14.37 	23 	8.06 	24 	50.50 	38 	12.56 	6 	3.68 	19 	0.61 	16 
広島	29.38 	20 	14.90 	15 	7.44 	41 	51.72 	26 	11.39 	22 	3.68 	20 	0.59 	20 
山口	29.01 	24 	14.93 	14 	8.21 	23 	52.15 	19 	12.82 	2 	3.10 	35 	0.56 	27 
														
徳島	27.25 	45 	12.98 	39 	7.73 	32 	47.96 	46 	12.05 	11 	3.69 	17 	0.69 	8 
香川	28.14 	35 	16.20 	5 	7.74 	30 	52.08 	21 	7.89 	47 	3.73 	15 	0.83 	1 
愛媛	28.11 	37 	16.80 	1 	7.68 	33 	52.59 	16 	10.49 	34 	4.04 	5 	0.75 	4 
高知	28.09 	38 	15.36 	10 	8.42 	20 	51.88 	22 	12.58 	5 	4.38 	2 	0.64 	13 
福岡	31.02 	2 	10.14 	47 	7.55 	39 	48.71 	45 	12.09 	10 	3.61 	23 	0.50 	34 
														
佐賀	30.72 	4 	12.01 	46 	8.29 	21 	51.02 	32 	12.21 	8 	3.61 	22 	0.73 	5 
長崎	30.49 	7 	13.43 	34 	7.31 	43 	51.22 	31 	11.49 	20 	3.63 	21 	0.52 	31 
熊本	28.31 	31 	13.73 	31 	7.74 	31 	49.78 	40 	11.01 	26 	3.38 	30 	0.57 	24 
大分	27.85 	43 	13.31 	36 	7.99 	25 	49.14 	42 	11.79 	16 	3.74 	14 	0.56 	28 
宮崎	28.56 	28 	14.73 	18 	8.83 	16 	52.11 	20 	12.14 	9 	3.70 	16 	0.66 	10 
														
鹿児島	27.86 	42 	12.80 	40 	8.89 	13 	49.55 	41 	12.70 	3 	3.94 	7 	0.65 	12 
沖縄	26.74 	46 	12.59 	43 	7.67 	34 	46.99 	47 	9.70 	41 	2.91 	39 	0.50 	35 
